"2REL","5","1","TWM1","","Religious Education Level 2","12","NCEA Level 2","Religious Education","STU","24","/ 91","2026TT","2REL||5|1|0|STU|TWM1|24|91|||8|1|1||"
"2STU","5","1","TWM1","2REL","STUDY","12","Year 12","Study","STU","24","/ 91","2026TT","2STU||5|1|0|STU|TWM1|24|91||2REL|8|4|1||"
"2STU","3","1","NC5","2REL","STUDY","12","Year 12","Study","CHI","16","/ 91","2026TT","2STU||3|1|0|CHI|NC5|16|91||2REL|8|4|0||"
"2REL","3","1","NC5","","Religious Education Level 2","12","NCEA Level 2","Religious Education","STU","16","/ 91","2026TT","2REL||3|1|0|STU|NC5|16|91|||8|1|1||"
"2STU","3","1","NC5","2REL","STUDY","12","Year 12","Study","STU","16","/ 91","2026TT","2STU||3|1|0|STU|NC5|16|91||2REL|8|4|1||"
"10AEC","2","1","PR8","","Accounting & Economics Year 10","10","Year 10","Social Science","SHA","28","/ 81","2026TT","10AEC||2|1|0|SHA|PR8|28|81|||4|1|0||"
"10ART","3","1","MN10","","Art Year 10","10","Year 10","Art","ABY","22","/ 61","2026TT","10ART||3|1|0|ABY|MN10|22|61|||4|1|0||"
"10ART","2","1","MN10","","Art Year 10","10","Year 10","Art","ABY","24","/ 61","2026TT","10ART||2|1|0|ABY|MN10|24|61|||4|1|0||"
"10CDG","2","1","PR11","","Coding Year 10","10","Year 10","Technology","HHN","10","/ 10","2026TT","10CDG||2|1|0|HHN|PR11|10|10|||4|1|0||"
"10DNC","2","1","RS4","","Dance Year 10","10","Year 10","Dance","RSN","18","/ 18","2026TT","10DNC||2|1|0|RSN|RS4|18|18|||4|1|0||"
"10DRA","2","1","RS5","","Drama Year 10","10","Year 10","Drama","LMB","14","/ 31","2026TT","10DRA||2|1|0|LMB|RS5|14|31|||4|1|0||"
"10DRA","1","1","RS5","","Drama Year 10","10","Year 10","Drama","LMB","17","/ 31","2026TT","10DRA||1|1|0|LMB|RS5|17|31|||4|1|0||"
"10DTE","1","1","PR11","","Digital Technology Year 10","10","Year 10","Technology","HHN","16","/ 16","2026TT","10DTE||1|1|0|HHN|PR11|16|16|||4|1|0||"
"10DVC","3","1","PR8","","Design and Visual Communication Year 10","10","Year 10","Technology","AMS","23","/ 45","2026TT","10DVC||3|1|0|AMS|PR8|23|45|||4|1|0||"
